Time,Coin Name,Sell at,ROI
04:20:42,"req,inr",wx,0.02567741935483870967741935484
04:22:27,"bnb,inr",wx,0.02976651999366534370190275554
04:22:59,"uni,inr",wx,0.02330593201510775383248167074
04:23:09,"xlm,inr",csx,0.02673240938166311300639658849
04:23:20,"omg,inr",csx,0.03058693855056489391016809038
04:24:23,"mkr,inr",csx,0.06300933740348356976117794936
04:24:44,"comp,inr",csx,0.02035794550435538640725733690
04:24:55,"iost,inr",wx,0.02385542168674698795180722892
04:25:05,"coti,inr",csx,0.06121794871794871794871794872
04:25:16,"gala,inr",wx,0.04463305773029926099363430160
04:25:26,"bico,inr",wx,0.02888888888888888888888888889
04:26:08,"req,inr",wx,0.02567741935483870967741935484
04:27:54,"bnb,inr",wx,0.02976651999366534370190275554
04:28:25,"uni,inr",wx,0.02330593201510775383248167074
04:28:36,"xlm,inr",csx,0.02673240938166311300639658849
04:28:46,"omg,inr",csx,0.03058693855056489391016809038
04:29:50,"mkr,inr",csx,0.06300933740348356976117794936
04:30:11,"comp,inr",csx,0.02035794550435538640725733690
04:30:21,"iost,inr",wx,0.02385542168674698795180722892
04:30:32,"coti,inr",csx,0.06121794871794871794871794872
04:30:42,"gala,inr",wx,0.04463305773029926099363430160
04:30:53,"bico,inr",wx,0.02888888888888888888888888889
04:31:35,"req,inr",wx,0.02567741935483870967741935484
04:33:20,"bnb,inr",wx,0.02976651999366534370190275554
Time,Coin Name,Sell at,ROI
13:10:08,"req,inr",wx,0.03482755038437564928319135674
13:10:20,"1inch,inr",wx,0.02479564032697547683923705722
13:10:42,"lrc,inr",wx,0.02247955685133927368693547801
Time,Coin Name,Sell at,ROI
13:13:28,"req,inr",wx,0.03482755038437564928319135674
13:13:37,"1inch,inr",wx,0.02479564032697547683923705722
13:14:58,"sand,inr",wx,0.02537634408602150537634408602
13:15:08,"bnb,inr",wx,0.02392261682242990654205607477
13:15:18,"yfi,inr",csx,0.05081897668767961282037314899
13:15:28,"chr,inr",wx,0.02516666666666666666666666667
13:16:18,"zrx,inr",wx,0.02217005738132498695878977569
13:16:37,"uma,inr",csx,0.02169164338328676657353314707
13:16:47,"crv,inr",csx,0.02629416598192276088742810189
Time,Coin Name,Sell at,ROI
13:18:43,"req,inr",wx,0.03417826719301890712653230833
13:18:44,"1inch,inr",wx,0.02479564032697547683923705722
Time,Coin Name,Sell at,ROI
Time,Coin Name,Sell at,ROI
13:21:44,"req,inr",wx,0.03417826719301890712653230833
13:21:44,"1inch,inr",wx,0.02479564032697547683923705722
Time,Coin Name,Sell at,ROI
13:33:55,"req,inr",wx,0.03417826719301890712653230833
